ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
01-01-1992,146617.2013,103119.696,124730.2621,146617.2013,146617.2013,-32652.88075,-32652.88075,-32652.88075,-32652.88075,-32652.88075,-32652.88075,0,0,0,113964.3206
01-02-1992,147585.6854,106192.7165,127435.1374,147585.6854,147585.6854,-30416.53479,-30416.53479,-30416.53479,-30416.53479,-30416.53479,-30416.53479,0,0,0,117169.1506
01-03-1992,148491.6867,140687.7448,163240.556,148491.6867,148491.6867,3992.42853,3992.42853,3992.42853,3992.42853,3992.42853,3992.42853,0,0,0,152484.1152
01-04-1992,149460.1708,134900.8783,156519.8695,149460.1708,149460.1708,-3647.882424,-3647.882424,-3647.882424,-3647.882424,-3647.882424,-3647.882424,0,0,0,145812.2884
01-05-1992,150397.4135,151063.413,172439.0944,150397.4135,150397.4135,11257.09572,11257.09572,11257.09572,11257.09572,11257.09572,11257.09572,0,0,0,161654.5092
01-06-1992,151365.8976,143481.367,164678.7422,151365.8976,151365.8976,3021.67607,3021.67607,3021.67607,3021.67607,3021.67607,3021.67607,0,0,0,154387.5736
01-07-1992,152303.1402,142651.5936,163887.5447,152303.1402,152303.1402,911.5085697,911.5085697,911.5085697,911.5085697,911.5085697,911.5085697,0,0,0,153214.6488
01-08-1992,153271.6243,150670.4748,171397.3611,153271.6243,153271.6243,7523.643942,7523.643942,7523.643942,7523.643942,7523.643942,7523.643942,0,0,0,160795.2683
01-09-1992,154240.1084,132033.5163,152995.524,154240.1084,154240.1084,-11577.10423,-11577.10423,-11577.10423,-11577.10423,-11577.10423,-11577.10423,0,0,0,142663.0042
01-10-1992,155177.3511,140481.6704,161997.5295,155177.3511,155177.3511,-3839.55265,-3839.55265,-3839.55265,-3839.55265,-3839.55265,-3839.55265,0,0,0,151337.7985
01-11-1992,156145.8352,146490.2511,168016.4537,156145.8352,156145.8352,959.6041291,959.6041291,959.6041291,959.6041291,959.6041291,959.6041291,0,0,0,157105.4394
01-12-1992,157083.0779,194602.494,214808.5793,157083.0779,157083.0779,47924.57757,47924.57757,47924.57757,47924.57757,47924.57757,47924.57757,0,0,0,205007.6555
01-01-1993,158051.562,116754.5371,138830.4202,158051.562,158051.562,-30780.41966,-30780.41966,-30780.41966,-30780.41966,-30780.41966,-30780.41966,0,0,0,127271.1423
01-02-1993,159020.046,111501.5077,132647.9539,159020.046,159020.046,-37111.49723,-37111.49723,-37111.49723,-37111.49723,-37111.49723,-37111.49723,0,0,0,121908.5488
01-03-1993,159894.8058,151821.4596,172627.5142,159894.8058,159894.8058,2328.202597,2328.202597,2328.202597,2328.202597,2328.202597,2328.202597,0,0,0,162223.0084
01-04-1993,160863.2899,145080.6813,166368.3481,160863.2899,160863.2899,-4520.868005,-4520.868005,-4520.868005,-4520.868005,-4520.868005,-4520.868005,0,0,0,156342.4219
01-05-1993,161800.5326,162705.868,183845.4746,161800.5326,161800.5326,11619.61789,11619.61789,11619.61789,11619.61789,11619.61789,11619.61789,0,0,0,173420.1505
01-06-1993,162769.0166,155641.5143,176386.9425,162769.0166,162769.0166,2849.348784,2849.348784,2849.348784,2849.348784,2849.348784,2849.348784,0,0,0,165618.3654
01-07-1993,163706.2593,153831.2836,176148.8779,163706.2593,163706.2593,1717.090429,1717.090429,1717.090429,1717.090429,1717.090429,1717.090429,0,0,0,165423.3497
01-08-1993,164674.7434,162790.6473,183595.8785,164674.7434,164674.7434,8464.23051,8464.23051,8464.23051,8464.23051,8464.23051,8464.23051,0,0,0,173138.9739
01-09-1993,165643.2274,143149.1387,164229.5217,165643.2274,165643.2274,-12479.66924,-12479.66924,-12479.66924,-12479.66924,-12479.66924,-12479.66924,0,0,0,153163.5582
01-10-1993,166580.4701,151549.4808,172592.2245,166580.4701,166580.4701,-4588.031148,-4588.031148,-4588.031148,-4588.031148,-4588.031148,-4588.031148,0,0,0,161992.4389
01-11-1993,167548.9541,157269.3758,179149.9888,167548.9541,167548.9541,735.3933405,735.3933405,735.3933405,735.3933405,735.3933405,735.3933405,0,0,0,168284.3474
01-12-1993,168486.1967,205587.9155,227904.878,168486.1967,168486.1967,48678.36745,48678.36745,48678.36745,48678.36745,48678.36745,48678.36745,0,0,0,217164.5641
01-01-1994,169454.6807,127138.6278,148145.8965,169454.6807,169454.6807,-31436.65356,-31436.65356,-31436.65356,-31436.65356,-31436.65356,-31436.65356,0,0,0,138018.0271
01-02-1994,170423.1647,124415.1322,147343.7258,170423.1647,170423.1647,-34877.64613,-34877.64613,-34877.64613,-34877.64613,-34877.64613,-34877.64613,0,0,0,135545.5186
01-03-1994,171297.9245,161649.2714,182560.8771,171297.9245,171297.9245,619.2613339,619.2613339,619.2613339,619.2613339,619.2613339,619.2613339,0,0,0,171917.1858
01-04-1994,172266.4085,155216.1086,177860.5546,172266.4085,172266.4085,-5371.685249,-5371.685249,-5371.685249,-5371.685249,-5371.685249,-5371.685249,0,0,0,166894.7232
01-05-1994,173203.6511,174111.1633,196800.5297,173203.6511,173203.6511,11997.35571,11997.35571,11997.35571,11997.35571,11997.35571,11997.35571,0,0,0,185201.0068
01-06-1994,174172.1351,166342.1941,187008.6093,174172.1351,174172.1351,2693.455328,2693.455328,2693.455328,2693.455328,2693.455328,2693.455328,0,0,0,176865.5904
01-07-1994,175109.3777,167190.2472,188273.9822,175109.3777,175109.3777,2531.615663,2531.615663,2531.615663,2531.615663,2531.615663,2531.615663,0,0,0,177640.9934
01-08-1994,176077.8617,174931.8689,195907.8631,176077.8617,176077.8617,9370.163959,9370.163959,9370.163959,9370.163959,9370.163959,9370.163959,0,0,0,185448.0257
01-09-1994,177046.3457,152354.7964,174295.2168,177046.3457,177046.3457,-13405.615,-13405.615,-13405.615,-13405.615,-13405.615,-13405.615,0,0,0,163640.7307
01-10-1994,177983.5884,161323.3845,183516.6133,177983.5884,177983.5884,-5325.441963,-5325.441963,-5325.441963,-5325.441963,-5325.441963,-5325.441963,0,0,0,172658.1464
01-11-1994,178952.0724,168694.7748,190448.6439,178952.0724,178952.0724,541.0386953,541.0386953,541.0386953,541.0386953,541.0386953,541.0386953,0,0,0,179493.1111
01-12-1994,179889.3151,218800.9034,239711.8227,179889.3151,179889.3151,49413.16961,49413.16961,49413.16961,49413.16961,49413.16961,49413.16961,0,0,0,229302.4847
01-01-1995,180857.7991,137681.8307,159997.1304,180857.7991,180857.7991,-32060.92084,-32060.92084,-32060.92084,-32060.92084,-32060.92084,-32060.92084,0,0,0,148796.8783
01-02-1995,181826.2832,138522.4713,160164.1008,181826.2832,181826.2832,-32645.18796,-32645.18796,-32645.18796,-32645.18796,-32645.18796,-32645.18796,0,0,0,149181.0952
01-03-1995,182701.043,170665.4446,192433.5193,182701.043,182701.043,-1132.763188,-1132.763188,-1132.763188,-1132.763188,-1132.763188,-1132.763188,0,0,0,181568.2798
01-04-1995,183669.527,166663.5792,188122.8021,183669.527,183669.527,-6198.983224,-6198.983224,-6198.983224,-6198.983224,-6198.983224,-6198.983224,0,0,0,177470.5438
01-05-1995,184606.7697,186272.5775,208014.1747,184606.7697,184606.7697,12390.11104,12390.11104,12390.11104,12390.11104,12390.11104,12390.11104,0,0,0,196996.8807
01-06-1995,185575.2537,178052.7468,199072.7827,185575.2537,185575.2537,2553.875771,2553.875771,2553.875771,2553.875771,2553.875771,2553.875771,0,0,0,188129.1295
01-07-1995,186512.4964,179290.0638,200270.4509,186512.4964,186512.4964,3353.818349,3353.818349,3353.818349,3353.818349,3353.818349,3353.818349,0,0,0,189866.3147
01-08-1995,187480.9804,186488.9763,208564.2229,187480.9804,187480.9804,10240.50698,10240.50698,10240.50698,10240.50698,10240.50698,10240.50698,0,0,0,197721.4874
01-09-1995,188449.4645,163296.4082,185297.1074,188449.4645,188449.4645,-14353.81543,-14353.81543,-14353.81543,-14353.81543,-14353.81543,-14353.81543,0,0,0,174095.6491
01-10-1995,189386.7071,172163.4201,194640.4951,189386.7071,189386.7071,-6050.677931,-6050.677931,-6050.677931,-6050.677931,-6050.677931,-6050.677931,0,0,0,183336.0292
01-11-1995,190355.1912,180201.0281,201501.9163,190355.1912,190355.1912,376.5228749,376.5228749,376.5228749,376.5228749,376.5228749,376.5228749,0,0,0,190731.714
01-12-1995,191292.4338,230583.8472,252136.6833,191292.4338,191292.4338,50128.46508,50128.46508,50128.46508,50128.46508,50128.46508,50128.46508,0,0,0,241420.8989
01-01-1996,192260.9179,148861.9821,170537.6122,192260.9179,192260.9179,-32652.88075,-32652.88075,-32652.88075,-32652.88075,-32652.88075,-32652.88075,0,0,0,159608.0371
01-02-1996,193229.4019,152529.2727,173708.157,193229.4019,193229.4019,-30416.53479,-30416.53479,-30416.53479,-30416.53479,-30416.53479,-30416.53479,0,0,0,162812.8671
01-03-1996,194135.4031,186902.3609,207780.3745,194135.4031,194135.4031,3992.42853,3992.42853,3992.42853,3992.42853,3992.42853,3992.42853,0,0,0,198127.8317
01-04-1996,195103.8872,180707.4311,201562.9847,195103.8872,195103.8872,-3647.882424,-3647.882424,-3647.882424,-3647.882424,-3647.882424,-3647.882424,0,0,0,191456.0048
01-05-1996,196041.1298,196677.4439,217701.5482,196041.1298,196041.1298,11257.09572,11257.09572,11257.09572,11257.09572,11257.09572,11257.09572,0,0,0,207298.2255
01-06-1996,197009.6139,189309.907,211009.1319,197009.6139,197009.6139,3021.67607,3021.67607,3021.67607,3021.67607,3021.67607,3021.67607,0,0,0,200031.2899
01-07-1996,197946.8599,188140.0532,209410.9452,197946.8599,197946.8599,911.5085697,911.5085697,911.5085697,911.5085697,911.5085697,911.5085697,0,0,0,198858.3685
01-08-1996,198915.3474,196383.7464,217015.1058,198915.3474,198915.3474,7523.643942,7523.643942,7523.643942,7523.643942,7523.643942,7523.643942,0,0,0,206438.9914
01-09-1996,199883.835,178085.6596,198948.1991,199883.835,199883.835,-11577.10423,-11577.10423,-11577.10423,-11577.10423,-11577.10423,-11577.10423,0,0,0,188306.7307
01-10-1996,200821.081,186605.8407,207411.0425,200821.081,200821.081,-3839.55265,-3839.55265,-3839.55265,-3839.55265,-3839.55265,-3839.55265,0,0,0,196981.5283
01-11-1996,201789.5685,192199.6537,213944.1424,201789.5685,201789.5685,959.6041291,959.6041291,959.6041291,959.6041291,959.6041291,959.6041291,0,0,0,202749.1726
01-12-1996,202726.8145,239972.1386,260674.3454,202726.8145,202726.8145,47924.57757,47924.57757,47924.57757,47924.57757,47924.57757,47924.57757,0,0,0,250651.3921
